env,k,elapse,profit
0,3,64,2004.3
0,3,64,2227.975
0,3,64,2959.925
0,3,64,2224.75
0,3,64,1846.675
0,3,64,1537.725
0,3,64,1818.825
0,3,64,2427.5
0,3,64,1675.55
0,3,64,1678.775
0,3,64,2078.025
0,3,64,2561.325
0,3,64,2341.325
0,3,64,1714.5
0,3,64,2411.625
0,3,64,3334.15
0,3,64,1394.6
0,3,64,2005.7
0,3,64,2443.625
0,3,64,1782.5
0,3,64,2378.2
0,3,64,2364.075
0,3,64,2042.975
0,3,64,2025.325
0,3,64,2264.475
0,3,64,1494.25
0,3,64,2725.925
0,3,64,2304.475
0,3,64,3271.175
0,3,64,2139.7
0,3,64,3154.95
0,3,128,2994.2
0,3,128,2129.0
0,3,128,2640.15
0,3,128,2070.85
0,3,128,2323.35
0,3,128,1868.675
0,3,128,2051.725
0,3,128,2400.275
0,3,128,1720.275
0,3,128,2116.95
0,3,128,2338.075
0,3,128,2417.775
0,3,128,2671.4
0,3,128,1205.125
0,3,128,2204.9
0,3,128,1696.075
0,3,128,3197.175
0,3,128,2556.25
0,3,128,1927.425
0,3,128,2336.2
0,3,128,1866.175
0,3,128,2081.775
0,3,128,1706.4
0,3,128,2455.125
0,3,128,2669.925
0,3,128,2860.25
0,3,128,1691.525
0,3,128,2001.6
0,3,128,2202.125
0,3,128,2258.75
0,3,128,1940.225
0,3,128,1923.375
0,3,128,2535.6
0,3,128,1371.5
0,3,128,2507.4
0,3,128,2393.075
0,3,128,2414.85
0,3,128,1891.05
0,3,128,2566.875
0,3,128,2290.125
0,3,128,2680.85
0,3,128,2932.75
0,3,128,2385.175
0,3,128,2546.1
0,3,128,2252.475
0,3,128,2152.75
0,3,128,1740.375
0,3,128,2172.9
0,3,128,1860.575
0,3,128,2669.575
0,3,256,1823.425
0,3,256,1924.1
0,3,256,1919.125
0,3,256,2688.3
0,3,256,1721.775
0,3,256,2109.35
0,3,256,2429.325
0,3,256,2072.875
0,3,256,2790.4
0,3,256,2145.975
0,3,256,2186.325
0,3,256,2224.775
0,3,256,2247.675
0,3,256,2011.775
0,3,256,2593.7
0,3,256,1600.825
0,3,256,2875.975
0,3,256,2589.15
0,3,256,2547.525
0,3,256,2126.375
0,3,256,2609.925
0,3,256,1730.325
0,3,256,1769.55
0,3,256,2020.9
0,3,256,1664.15
0,3,256,1773.5
0,3,256,1936.2
0,3,256,1231.175
0,3,256,2330.675
0,3,256,1639.75
0,3,256,2528.05
0,3,256,2434.725
0,3,256,1940.6
0,3,256,1743.4
0,3,256,2046.725
0,3,256,1853.55
0,3,256,2581.725
0,3,256,2288.0
0,3,256,1858.075
0,3,256,2869.35
0,3,256,1849.65
0,3,256,1848.975
0,3,256,2267.6
0,3,256,1877.7
0,3,256,2612.475
0,3,256,2458.05
0,3,256,1546.4
0,3,256,2224.575
0,3,256,3209.475
0,3,256,1914.75
0,4,32,2134.125
0,4,32,1792.65
0,4,32,1482.95
0,4,32,2778.125
0,4,32,1778.875
0,4,32,1789.95
0,4,32,2361.125
0,4,32,1878.575
0,4,32,2720.475
0,4,32,2744.35
0,4,32,2829.7
0,4,32,2385.0
0,4,32,1902.075
0,4,32,2356.525
0,4,32,2588.225
0,4,32,2323.15
0,4,32,2238.55
0,4,32,1394.0
0,4,32,2372.725
0,4,32,2141.65
0,4,32,2677.65
0,4,32,2482.4
0,4,32,2364.175
0,4,32,2688.925
0,4,32,2220.925
0,4,32,2099.475
0,4,32,1760.425
0,4,32,1994.375
0,4,32,2537.025
0,4,32,2928.5
0,4,32,2380.575
0,4,32,2483.8
0,4,32,2397.875
0,4,32,1888.975
0,4,32,2383.0
0,4,32,3118.125
0,4,32,1362.525
0,4,32,1672.425
0,4,32,1950.45
0,4,32,2600.5
0,4,32,2665.7
0,4,32,2280.675
0,4,32,2105.95
0,4,32,2859.375
0,4,32,2227.25
0,4,32,2546.725
0,4,32,2611.225
0,4,32,2714.625
0,4,32,2283.825
0,4,32,2341.6
0,4,64,2046.05
0,4,64,2352.25
0,4,64,1910.5
0,4,64,2376.95
0,4,64,2506.825
0,4,64,2443.7
0,4,64,2218.65
0,4,64,2400.275
0,4,64,2098.9
0,4,64,1631.55
0,4,64,1994.125
0,4,64,1447.075
0,4,64,1915.45
0,4,64,1797.3
0,4,64,1560.475
0,4,64,2355.0
0,4,64,2630.875
0,4,64,1461.5
0,4,64,2174.025
0,4,64,1660.325
0,4,64,1500.925
0,4,64,2735.075
0,4,64,1793.85
0,4,64,2823.1
0,4,64,2177.9
0,4,64,1743.725
0,4,64,2215.25
0,4,64,1386.625
0,4,64,2173.25
0,4,64,2920.5
0,4,64,3067.85
0,4,64,1893.975
0,4,64,1641.825
0,4,64,1719.5
0,4,64,2660.2
0,4,64,2648.35
0,4,64,2624.2
0,4,64,2092.55
0,4,64,2055.025
0,4,64,2393.325
0,4,64,2492.525
0,4,64,1928.275
0,4,64,2278.025
0,4,64,2184.35
0,4,64,1917.775
0,4,64,1603.275
0,4,64,2672.1
0,4,64,1818.025
0,4,64,2476.8
0,4,64,2871.125
0,4,128,2407.525
0,4,128,2138.875
0,4,128,2289.775
0,4,128,2319.425
0,4,128,2850.45
0,4,128,1114.925
0,4,128,2130.3
0,4,128,2941.425
0,4,128,2221.75
0,4,128,2915.6
0,4,128,2132.575
0,4,128,2304.45
0,4,128,1987.35
0,4,128,2531.125
0,4,128,2613.65
0,4,128,2068.225
0,4,128,2649.275
0,4,128,2233.225
0,4,128,1608.15
0,4,128,1731.85
0,4,128,3055.775
0,4,128,2544.325
0,4,128,2065.6
0,4,128,2170.875
0,4,128,2853.95
0,4,128,2173.025
0,4,128,2432.375
0,4,128,2236.225
0,4,128,2373.275
0,4,128,925.375
0,4,128,2378.625
0,4,128,2290.05
0,4,128,2629.25
0,4,128,2183.85
0,4,128,1397.95
0,4,128,2956.4
0,4,128,2153.775
0,4,128,2118.65
0,4,128,2743.225
0,4,128,2288.5
0,4,128,2031.975
0,4,128,1815.75
0,4,128,2344.725
0,4,128,2488.875
0,4,128,2449.125
0,4,128,2819.025
0,4,128,2278.8
0,4,128,1951.35
0,4,128,2715.725
0,4,128,1976.775
0,4,256,2685.875
0,4,256,2599.5
0,4,256,2267.525
0,4,256,2596.775
0,4,256,2877.275
0,4,256,2413.55
0,4,256,1741.95
0,4,256,1925.25
0,4,256,2524.875
0,4,256,2787.925
0,4,256,1997.625
0,4,256,1857.9
0,4,256,2579.925
0,4,256,2361.075
0,4,256,2020.8
0,4,256,2818.8
0,4,256,2491.7
0,4,256,2233.0
0,4,256,1337.475
0,4,256,2102.075
0,4,256,2620.0
0,4,256,2868.15
0,4,256,3097.1
0,4,256,2030.85
0,4,256,2263.3
0,4,256,2030.65
0,4,256,2015.85
0,4,256,2630.25
0,4,256,2253.0
0,4,256,3064.75
0,4,256,2613.375
0,4,256,2132.65
0,4,256,1582.8
0,4,256,1379.725
0,4,256,2535.775
0,4,256,1715.95
0,4,256,2386.95
0,4,256,2226.325
0,4,256,1794.825
0,4,256,2107.325
0,4,256,2283.25
0,4,256,2402.725
0,4,256,2403.85
0,4,256,2382.8
0,4,256,2637.35
0,4,256,2258.675
0,4,256,3062.9
0,4,256,1669.375
0,4,256,2113.35
0,4,256,2641.125
1,2,32,1800.95
1,2,32,1712.35
1,2,32,2388.075
1,2,32,1547.425
1,2,32,2397.075
1,2,32,1843.275
1,2,32,1980.875
1,2,32,3361.25
1,2,32,2704.4
1,2,32,2495.5
1,2,32,2968.375
1,2,32,2280.8
1,2,32,2668.8
1,2,32,3677.05
1,2,32,2267.15
1,2,32,2814.375
1,2,32,1923.675
1,2,32,2314.5
1,2,32,2471.4
1,2,32,2049.65
1,2,32,2993.25
1,2,32,2536.575
1,2,32,2145.0
1,2,32,2733.575
1,2,32,2440.6
1,2,32,2393.325
1,2,32,1909.2
1,2,32,1672.7
1,2,32,2268.625
1,2,32,2441.525
1,2,32,2628.7
1,2,32,2302.95
1,2,32,2542.8
1,2,32,2190.825
1,2,32,2953.225
1,2,32,2077.525
1,2,32,2237.5
1,2,32,1473.05
1,2,32,2612.75
1,2,32,2580.7
1,2,32,2156.975
1,2,32,2760.175
1,2,32,2694.075
1,2,32,2828.4
1,2,32,2640.475
1,2,32,2069.8
1,2,32,2313.2
1,2,32,2653.05
1,2,32,2451.3
1,2,32,2069.7
1,2,64,2363.675
1,2,64,1810.225
1,2,64,1606.95
1,2,64,2084.55
1,2,64,1291.9
1,2,64,2421.525
1,2,64,2477.275
1,2,64,1932.2
1,2,64,2221.95
1,2,64,2316.55
1,2,64,3019.9
1,2,64,2718.45
1,2,64,2583.825
1,2,64,1856.275
1,2,64,1671.65
1,2,64,2175.525
1,2,64,2139.45
1,2,64,2712.85
1,2,64,2055.675
1,2,64,2060.975
1,2,64,2760.4
1,2,64,2021.975
1,2,64,2092.075
1,2,64,2266.05
1,2,64,1780.325
1,2,64,2019.875
1,2,64,2515.275
1,2,64,2260.625
1,2,64,2749.925
1,2,64,1586.7
1,2,64,1891.1
1,2,64,2482.425
1,2,64,2159.2
1,2,64,1860.45
1,2,64,1833.95
1,2,64,2858.25
1,2,64,1997.875
1,2,64,3272.85
1,2,64,1948.375
1,2,64,2104.325
1,2,64,1755.175
1,2,64,3012.25
1,2,64,2125.2
1,2,64,2419.55
1,2,64,2110.15
1,2,64,2659.9
1,2,64,2185.75
1,2,64,1146.55
1,2,64,1833.3
1,2,64,1537.15
1,2,128,2669.65
1,2,128,2382.35
1,2,128,1726.775
1,2,128,2252.65
1,2,128,1658.5
1,2,128,2822.175
1,2,128,2047.9
1,2,128,2244.125
1,2,128,1915.875
1,2,128,1624.15
1,2,128,2108.6
1,2,128,2006.675
1,2,128,1916.175
1,2,128,1490.525
1,2,128,2330.475
1,2,128,2900.875
1,2,128,2281.375
1,2,128,1903.975
1,2,128,1994.0
